time,apoptosis,std
0,3.415375627,1.575522455
0.5,4.799901033,1.2421496
1,3.335072388,0.577342957
1.5,3.829414191,1.585447754
2,3.01590177,0.878113153
2.5,1.868769067,0.083506573
3,3.228228809,2.081315541
3.5,4.643102231,1.860462388
4,4.788477859,3.290305296
