time,caspasea,AUT
0,0.202368692,0.006315789
120,0.165550978,0.109172932
480,0.227342945,0.053533835
720,0.283213182,0.109172932
1440,0.78038105,0.238195489
1800,1,0.328421053
2160,0.966786818,0.436090226
