T [h],0.1 [uM],2.0 [uM],,
0,0.144957983193277,0.00490196078431373,,
2,0.124183006535948,0.084733893557423,,
8,0.0415499533146592,0.0415499533146592,,
12,0.0415499533146592,0.084733893557423,,
24,0.352007469654528,0.184873949579832,,
30,0.662231559290383,0.254901960784314,,
36,0.776143790849673,0.338468720821662,,
