T [h],0.1 [uM],2.0 [uM],,
0,0.050186741363212,0.183473389355742,,
2,0.150093370681606,0.150093370681606,,
8,0.110177404295051,0.206115779645191,,
12,0.130252100840336,0.256769374416433,,
24,0.200046685340803,0.707516339869281,,
30,0.25,0.906629318394024,,
36,0.300420168067227,0.876517273576097,,
