T [h],0.02 [uM],0.08 [uM],0.32 [uM],2.5 [uM]
0,0.02,0.04,0.04,0.04
120,0.04,0.02,0.01,0.04
240,0.02,0.02,0.03,0.05
360,0.04,0.04,0.15,0.63
480,0.07,0.09,0.45,0.9
720,0.1,0.23,0.66,0.92
960,0.09,0.33,0.8,0.93
